game_id,title,year,n_obs,adj_mean,expected_Q3b,expected_Q3bFam,resid_Q3b,resid_Q3bFam,delta_Q3bFam_minus_Q3b,fam_18XX,vol_band
2396,Ur: 1830 BC,2001.0,302,7.531533897656839,7.232917214595224,7.944773186233018,0.29861668306161526,-0.41323928857617886,-0.7118559716377941,1.0,200-499
1208,1851: Kentucky & Tennessee,1998.0,100,7.460586795895249,6.848347421202245,7.560055153968488,0.6122393746930044,-0.0994683580732385,-0.7117077327662429,1.0,100-199
16000,1825 Unit 2,2000.0,212,8.104562281084577,7.092569828562905,7.7984131038007245,1.0119924525216728,0.30614917728385294,-0.7058432752378199,1.0,200-499
15999,1825 Unit 3,2004.0,177,8.192198155358234,7.135683853801915,7.841226774967655,1.0565143015563194,0.35097138039057896,-0.7055429211657405,1.0,100-199
937,1825 Unit 1,1995.0,306,7.514534800420685,7.018820511952201,7.723665134702369,0.4957142884684833,-0.20913033428168415,-0.7048446227501675,1.0,200-499
82272,Railroad Barons,2010.0,320,6.8810884781433925,7.053187357467104,7.752587312326069,-0.1720988793237117,-0.8714988341826766,-0.6993999548589649,1.0,200-499
1313,1826: Railroading in France and Belgium from 1826,2000.0,158,8.223435412452895,7.10749360944264,7.802018449440627,1.115941803010255,0.42141696301226794,-0.6945248399979871,1.0,100-199
227143,1867: The Railways of Canada,2017.0,106,8.04847064599044,7.722020691188799,8.41348345983348,0.32644995480164063,-0.3650128138430393,-0.6914627686446799,1.0,100-199
13924,1829 Mainline,2005.0,151,7.333713631681389,7.211278508256523,7.898602548904316,0.12243512342486618,-0.5648889172229268,-0.687324040647793,1.0,100-199
344937,18 India,2023.0,198,8.351493388858595,8.294640359330584,8.98194808939533,0.056853029528010524,-0.6304547005367347,-0.6873077300647452,1.0,100-199
313129,18MS: The Railroads Come to Mississippi,2020.0,309,7.755802816302385,7.663786035614091,8.350563581388908,0.09201678068829366,-0.594760765086523,-0.6867775457748166,1.0,200-499
76417,Poseidon,2010.0,1180,7.59516818898951,7.567524152418846,8.253539028429698,0.027644036570664277,-0.6583708394401873,-0.6860148760108515,1.0,1k-2.5k
180204,1857,2015.0,131,8.060150368964859,7.173191868537952,7.8583458185140085,0.8869585004269069,0.20180455045085033,-0.6851539499760566,1.0,100-199
173574,1836Jr,2006.0,187,8.070800709858,7.255634997114695,7.940644643959089,0.8151657127433047,0.1301560658989107,-0.685009646844394,1.0,100-199
17132,1800: Colorado,2002.0,116,6.855475077346504,6.983718933288424,7.667939378875012,-0.12824385594192034,-0.8124643015285082,-0.6842204455865879,1.0,100-199
250621,18Lilliput,2018.0,936,7.660282470819085,7.701518245056484,8.384466920777582,-0.04123577423739899,-0.7241844499584973,-0.6829486757210983,1.0,500-999
17405,1846: The Race for the Midwest,2005.0,2998,8.53805271103467,7.863758086729881,8.546192819797458,0.6742946243047889,-0.008140108762788145,-0.6824347330675771,1.0,2.5k-5k
21436,18FL,2006.0,217,7.780831288552826,7.206230978477063,7.888060440962521,0.5746003100757635,-0.10722915240969488,-0.6818294624854584,1.0,200-499
17857,18Scan,2005.0,269,8.079460778421193,7.205989950394562,7.886727692029343,0.8734708280266315,0.1927330863918506,-0.6807377416347808,1.0,200-499
2612,18AL,1999.0,730,7.828988351519057,7.3659705590751265,8.046246300583421,0.4630177924439307,-0.21725794906436402,-0.6802757415082947,1.0,500-999
